referencia;variante;descricao;preco_unitario;porcentagem_imposto;pagina
LM2624;;LED 9,8W 3000K 127/220V IRC 90 - DIMERIZAVEL;38.80;6.50;33
LM561;;4W 2700K 127/220V;5.99;6.50;33
LM2121;;4W 3000K 127/220V;5.99;6.50;34
LM962;;4W 4000K 127/220V;5.99;6.50;34
LM564;;4W 6000K 127/220V;5.99;6.50;34
LM562;;4W 2700K 127V - DIMERIZAVEL;11.65;6.50;34
LM563;;4W 2700K 220V - DIMERIZAVEL;11.65;6.50;34
LM040;;GU10 LED 4,5W 2700K 127V/220V;5.30;6.50;34
LM2122;;GU10 LED 4,5W 3000K 127V/220V;5.30;6.50;34
LM609;;GU10 LED 4,5W 4000K 127V/220V;5.30;6.50;34
LM041;;GU10 LED 4,5W 6000K 127V/220V;5.30;6.50;34
LM1423;;LED GU10 4,9W 2700K 127/220V;7.35;6.50;34
LM1424;;LED GU10 4,9W 4000K 127/220V;7.35;6.50;34
LM1425;;LED GU10 4,9W 6000K 127/220V;7.05;6.50;34
LM2487;;GU10 LED 6W 2700K 127/220V 10°;7.65;6.50;34
LM2488;;GU10 LED 6W 3000K 127/220V 10°;7.65;6.50;34
LM1180;;GU10 LED 6,5W 2700K 127/220V;5.95;6.50;34
LM2123;;LED GU10 6,5W 3000K 127V/220V;5.95;6.50;34
LM1181;;GU10 LED 6,5W 4000K 127/220V;5.95;6.50;34
LM414;;LED 6,5W 6500K127V/220V;5.90;6.50;34
LM173;;GU10 LED 7W 2700K 127V/220V;5.90;6.50;34
LM2627;;GU10 LED 7W 3000K 127V/220V IRC 80;5.99;6.50;34
LM1426;;GU10 LED 7W 4000K 127V/220V;5.90;6.50;34
LM174;;GU10 LED 7W 6000K 127V/220V;5.90;6.50;34
LM149;;LED GU10 8W 2700K 127V/220V;7.70;6.50;34
LM1427;;LED GU10 8W 4000K 127/220V;7.70;6.50;34
LM076;;LED GU10 8W 6000K 127V/220V;7.70;6.50;34
LM150;;LED GU10 8W 2700K 127V - DIMERIZAVEL;11.60;6.50;34
LM503;;GU10 LED 8W 2700K 220V - DIMERIZAVEL;11.60;6.50;34
LM713;;LED 3,5W RGB 127/220V - COM CONTROLE REMOTO;41.40;6.50;34
LM486;;LED, DRIVER EXTERNO SEM BASE 7W 2700K 127-220V;11.60;9.75;34
LM655;;LED REFLETORA 4,8W 2700K BASE GU10 127/220V;14.20;6.50;34
LM1420;;REFLATORA GU10 4,8W 127-220V 4000K 24°;13.90;6.50;34
LM1413;;LED REFLETORA 7W 2700K BASE GU10 127V/220V 12°;16.70;6.50;34
LM381;;LED REFLETORA 7W 2700K BASE GU10 127V/220V;14.20;6.50;34
LM1437;;LED REFLETORA 7W 4000K BASE GU10 127/220V 24°;14.20;6.50;34
LM659;;LED REFLETORA 4,8W 2700K BASE GU10 127/220V- DIMERIZAVEL;33.20;6.50;34
LM487;;LED, DRIVER EXTERNO SEM BASE 10W 2700K 127-220V;25.45;9.75;34
LM513;;LED 12W 2700K BASE GU10 127V/220V;17.20;6.50;34
LM3548;;LED 15W 2700K BASE GU10 127/220V REFLETORA 15°;30.50;6.50;34
LM3549;;LED 15W 3000K BASE GU10 127/220V REFLETORA 15°;30.50;6.50;34
LM3550;;LED 15W 4000K BASE GU10 127/220V REFLETORA 15°;30.50;6.50;34
LM1415;;LED 12W 2700K BASE GU10 127/220V REFLETORA 8°;28.95;6.50;34
LM307;;LED 12W 2700K BASE GU10 127/220V REFLETORA;28.95;6.50;34
LM1440;;LED 12W 4000K BASE GU10 127/220V REFLETORA 24°;32.65;6.50;34
LM1441;;LED 12W 6000K BASE GU10 127/220V REFLETORA 24°;32.65;6.50;34
LM661;;REFLATORA GU10 12W 127-220V 2700K 12 DIMERIZÁVEL;49.77;6.50;34
LM1433;;4,9W 2700K 127/220V;10.20;6.50;34
LM1434;;4,9W 4000K 127/220V;10.20;6.50;34
LM1435;;4,9W 6000K 127/220V;10.70;6.50;34
LM501;;6W 2700K 127/220V IP65;8.50;6.50;34
LM2125;;6W 3000K 127/220V IP65;8.50;6.50;35
LM624;;6W 4000K 127/220V;8.50;6.50;35
LM502;;6W 6000K 127V/220 IP65;8.50;6.50;35
LM622;;6,5W 2700K 127/220V;8.75;6.50;35
LM2124;;6,5W 3000K 127/220V;8.50;6.50;35
LM1430;;6,5W 4000K 127/220V;8.50;6.50;35
LM1429;;7W 2700K 127/220V DIMERIZÁVEL;28.45;6.50;35
LM161;;LED 6W GREEN 127/220V IP65;9.35;6.50;35
LM162;;LED 6W BLUE 127/220V IP65;9.35;6.50;35
LM163;;LED 6W AMBAR 127/220V IP65;9.35;6.50;35
LM2485;;LED 9,8W 3000K 127/220V IRC 80;14.70;6.50;35
LM170;;LED 10W 2700K 127V/220V IP65;14.70;6.50;35
LM1029;;30 LED 10W 4000K 127/220V;14.70;6.50;35
LM277;;LED 10W 6000K 127/220V IP65;14.70;6.50;35
LM1417;;CDMR LED 20W 2700K 127/220V;61.90;6.50;35
LM1418;;CDMR LED 20W 4000K 127/220V;61.90;6.50;35
LM3543;;CDMR LED 35W 2700K 127/220V;79.10;6.50;35
LM3544;;CDMR LED 35W 4000K 127/220V;79.10;6.50;35
LM171;;LED 10W GREEN 127/220V IP65;16.70;6.50;35
LM552;;LED 10W BLUE 127/220V IP65;16.70;6.50;35
LM553;;LED 10W AMBAR 127/220V IP65;14.35;6.50;35
LM186;;LED 15W 2700K 127/220V IP65;28.95;6.50;35
LM2486;;LED 15W 3000K 127/220V IRC 80;28.95;6.50;35
LM1030;;38 LED 15W 4000K 127/220V;23.20;6.50;35
LM278;;LED 15W 6000K 127/220V IP65;30.15;6.50;35
LM172;;LED 15W GREEN 127/220V IP65;27.20;6.50;35
LM554;;LED 15W BLUE 127/220V IP65;27.20;6.50;35
LM555;;LED 15W AMBAR 127/220V IP65;29.25;6.50;35
LM1449;;LED 1,5W 2700K 127V/220V;4.85;6.50;35
LM1450;;LED 1,5W 4000K 127V/220V;4.85;6.50;35
LM1451;;LED 1,5W 6000K 127V/220V;4.85;6.50;35
LM168;;LED 6W 2700K 127V/220V;7.40;6.50;35
LM965;;LED 6W 4000K 127V/220V;7.40;6.50;35
LM169;;LED 6W 6000K 127V/220V;7.40;6.50;35
LM2101;;LED 1W VERMELHA 127V/220V;5.40;6.50;35
LM2103;;LED 1W VERDE 127V/220V;5.40;6.50;35
LM2102;;LED 1W AZUL 127V/220V;5.40;6.50;35
