referencia;variante;descricao;detalhes;preco_unitario;porcentagem_imposto;pagina
6665;;Arandela Lampe Un;"Largura: 17cm | Altura: 36 cm | Profundidade: 20cm
Base: G-9 01 -Lâmpada Halopin
de Led: 9W | 3.000K ou 4.000K | 900 lm | 127V ou 220V
Material: Alumínio, Acrílico e Vidro
Cores: Sólidas, Automotivas e Especiais
Vidro nas opções: Ambar, Fumê e Cristal";497.31;16.60;3
6666;;Arandela Lampe Sans P;"Largura: 17cm | Altura: 26cm| Profundidade: 20cm
Fita de Led: 7,2W | 3.000K ou 4.000K | 720 lm | 127V ou 220V
Material: Alumínio
Cores: Sólidas, Automotivas e Especiais";192.33;16.60;3
6668;;Arandela Lampe Deux;"Largura: 38cm | Altura: 45 cm | Profundidade: 20cm
Base: G-9 02 -Lâmpadas Halopin
Fita de Led: 14,4W | 3.000K ou 4.000K | 1.440 lm | 127V ou 220V
Material: Alumínio, Acrílico e Vidro
Cores: Sólidas, Automotivas e Especiais
Vidro nas opções: Ambar, Fumê e Cristal";1038.36;16.60;4
6669;;Arandela Lampe Sans G;"Largura: 38cm | Altura: 25cm| Profundidade: 20cm
Fita de Led: 9W | 3.000K ou 4.000K | 900 lm | 127V ou 220V
Material: Alumínio
Cores: Sólidas, Automotivas e Especiais";344.62;16.60;4
6670;;Pendente Lampe P;"Largura: 9cm| Altura: 40cm| Profundidade: 9cm
Base: G-9 01 -Lâmpada Halopin
Material: Alumínio, Acrílico e Vidro (Cabo energizado)
Cores: Sólidas, Automotivas e Especiais
Vidro nas opções: Ambar, Fumê e Cristal";458.17;16.60;4
6671;;Pendente Lampe M;"Largura: 9cm| Altura: 50cm| Profundidade: 9cm
Base: G-9 01 -Lâmpada Halopin
Material: Alumínio, Acrílico e Vidro (Cabo energizado)
Cores: Sólidas, Automotivas e Especiais
Vidro nas opções: Ambar, Fumê e Cristal";552.09;16.60;4
6672;;Pendente Lampe G;"Largura: 9cm| Altura: 60cm| Profundidade: 9cm
Base: G-9 01 -Lâmpada Halopin
Material: Alumínio, Acrílico e Vidro (Cabo energizado)
Cores: Sólidas, Automotivas e Especiais
Vidro nas opções: Ambar, Fumê e Cristal";603.67;16.60;4
6675;;Lustre Lampe;"Largura: 1mt| Altura: 53cm| Profundidade: 35cm
Base: G-9 07 -Lâmpadas Halopin
Material: Alumínio, Acrílico e Vidro (Cabo aço + Cabo PP)
Cores: Sólidas, Automotivas e Especiais
Vidro nas opções: Ambar, Fumê e Cristal";3220.82;16.60;4
6560;;Arandela Eclisse P;"Largura: 35cm | Altura: 35cm | Profundidade: 15cm
Base: G-9 02 -Lâmpadas Halopin
Material: Alumínio
Cores: Sólidas, Automotivas e Especiais";310.37;16.60;4
6562;;Arandela Eclisse G;"Largura: 56cm | Altura: 56cm | Profundidade: 20cm
Base: G-9 02 -Lâmpadas Halopin
Material: Alumínio
Cores: Sólidas, Automotivas e Especiais";497.18;16.60;4
