referencia;variante;descricao;preco_unitario;porcentagem_imposto;pagina
LM2160;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 2700K BC/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2165;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 2700K PT/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2854;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 3000K BC/BC DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2822;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 3000K BC/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2827;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 3000K PT/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM3381;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 4000K BC/BC DOT-LIGHT CONCENTRADO;102.60;9.75;2
LM2594;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 4000K BC/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2599;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 4000K PT/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2915;;LUMINARIA DE LED 3 SPOTS DE SOBREPOR 6W 3000K BC/PT DOT-LIGHT CONCENTRADO;34.20;9.75;2
LM2916;;LUMINARIA DE LED 3 SPOTS DE SOBREPOR 6W 3000K PT/PT DOT-LIGHT CONCENTRADO;34.20;9.75;2
LM2917;;LUMINARIA DE LED 5 SPOTS DE SOBREPOR 10W 3000K BC/PT DOT-LIGHT CONCENTRADO;54.30;9.75;2
LM2918;;LUMINARIA DE LED 5 SPOTS DE SOBREPOR 10W 3000K PT/PT DOT-LIGHT CONCENTRADO;54.30;9.75;2
LM2919;;LUMINARIA DE LED 10 SPOTS DE SOBREPOR 20W 3000K BC/PT DOT-LIGHT CONCENTRADO;82.30;9.75;2
LM2920;;LUMINARIA DE LED 10 SPOTS DE SOBREPOR 20W 3000K PT/PT DOT-LIGHT CONCENTRADO;82.30;9.75;2
LM3382;;ACESSORIO P/ INSTALAÇAO NO FRAME P/ LUMINARIA DOT-LIGHT DE SOBREPOR;17.75;9.75;2
LM3829;;LUMINARIA DE LED 1 SPOT DE EMBUTIR DIRECIONÁVEL 2W 3000K PT/PT DOT-LIGHT CONCENTRADO;0.00;0.00;2
LM3830;;LUMINARIA DE LED 1 SPOT DE EMBUTIR DIRECIONÁVEL 2W 3000K BC/BC DOT-LIGHT CONCENTRADO;0.00;0.00;2
LM3383;;LUMINARIA DE LED 5 SPOTS DE EMBUTIR DIRECIONÁVEL 10W 3000K PT/PT DOT-LIGHT CONCENTRADO;50.99;9.75;2
LM3384;;LUMINARIA DE LED 5 SPOTS DE EMBUTIR DIRECIONÁVEL 10W 3000K BC/BC DOT-LIGHT CONCENTRADO;50.99;9.75;2
LM3386;;LUMINARIA DE LED 10 SPOTS DE EMBUTIR DIRECIONÁVEL 20W 3000K BC/BC DOT-LIGHT CONCENTRADO;79.30;9.75;2
LM3385;;LUMINARIA DE LED 10 SPOTS DE EMBUTIR DIRECIONÁVEL 20W 3000K PT/PT DOT-LIGHT CONCENTRADO;76.99;9.75;2
LM3193;;PENDENTE FLUX 28W 3000K 127-220V BC;430.85;9.75;2
LM3192;;PENDENTE FLUX 28W 3000K 127-220V PT;430.85;9.75;2
LM3535;;PENDENTE FLUX 28W 4000K 127-220V BC;407.95;9.75;2
LM3534;;PENDENTE FLUX 28W 4000K 127-220V PT;407.95;9.75;2
LM3191;;PENDENTE FLUX MOVI LUZ DIR. E IND. COM SENSOR PARA DIMERIZAÇÃO 30W 3000K 127-220V BC;545.80;9.75;2
LM3190;;PENDENTE FLUX MOVI LUZ DIR. E IND. COM SENSOR PARA DIMERIZAÇÃO 30W 3000K 127-220V PT;545.80;9.75;2
LM3210;;ACESSORIO P/ INSTALAÇAO NO FORRO PD FLUX;20.35;9.75;2
LM3558;;TINY SPOT DE SOBREPOR REDONDO 1W 3000K 24V IRC 90 PT;35.70;9.75;2
LM3559;;TINY SPOT DE SOBREPOR REDONDO 1W 3000K 24V IRC 90 BC;35.70;9.75;3
LM3178;;TINY SPOT DE EMBUTIR QUADRADO 1W 3000K 24V IRC 90 PT;47.35;9.75;3
LM3179;;TINY SPOT DE EMBUTIR QUADRADO 1W 3000K 24V IRC 90 BC;47.35;9.75;3
LM3176;;TINY SPOT DE EMBUTIR REDONDO 1W 3000K 24V IRC 90 PT;45.55;9.75;3
LM3177;;TINY SPOT DE EMBUTIR REDONDO 1W 3000K 24V IRC 90 BC;45.55;9.75;3
LM3180;;TINY SPOT DE EMBUTIR REDONDO COM HASTE 2W 3000K 24V IRC 90 PT;98.35;9.75;3
LM3181;;TINY SPOT DE EMBUTIR REDONDO COM HASTE 2W 3000K 24V IRC 90 BC;98.35;9.75;3
LM3182;;TINY SPOT DE EMBUTIR REDONDO COM HASTE 5W 3000K 24V IRC 90 PT;114.60;9.75;3
LM3183;;TINY SPOT DE EMBUTIR REDONDO COM HASTE 5W 3000K 24V IRC 90 BC;120.55;9.75;3
LM3184;;TINY SPOT DE EMBUTIR REDONDO COM HASTE 5W 3000K 24V IRC 90 DOURADO;120.35;9.75;3
LM3185;;TINY SPOT DE EMBUTIR REDONDO COM HASTE LONGA 5W 3000K 24V IRC 90 PT;120.35;9.75;3
LM3186;;TINY SPOT DE EMBUTIR REDONDO COM HASTE LONGA 5W 3000K 24V IRC 90 BC;124.10;9.75;3
LM3187;;TINY SPOT DE SOBREPOR REDONDO COM HASTE LONGA 5W 3000K 24V IRC 90 PT;125.55;9.75;3
LM3188;;TINY SPOT DE SOBREPOR REDONDO COM HASTE LONGA 5W 3000K 24V IRC 90 BC;125.55;9.75;3
LM3145;;TINY MAG TRILHO DE SOBREPOR MAGNETICO PT 1M MAX. 24V;54.45;9.75;3
LM3146;;TINY MAG TRILHO DE SOBREPOR MAGNETICO PT 2M MAX. 24V;111.65;9.75;3
LM3147;;TINY MAG TRILHO DE SOBREPOR MAGNETICO PT 3M MAX. 24V;171.35;9.75;3
LM3168;;TINY MAG CONECTOR DE DRIVER P/ TRILHO MAGNETICO PT - MAX 24V;18.15;9.75;3
LM3151;;TINY MAG KIT SOBREPOR PAREDE-PAREDE CONECTOR/CONDUTOR/HASTE PT - MAX 24V;77.15;9.75;3
