referencia;variante;descricao;detalhes;preco_unitario;porcentagem_imposto;pagina
ROCHA-100-PLAFON;FOLHA DE OURO;RED.100CM P/23 LAMP. E14 - 04 AROS - 65CM ALTURA - ROCHA - PLAFON - FELSEN;;20844.51;9.75;18
ROCHA-ARA-BAST-2;;ARANDELA 25 X 30CM ALT.- 03 LÂMP. G9 - 02 CAMADAS - BASTÃO DE ROCHA;;1476.69;9.75;19
ROCHA-ARA-BAST-2;FOLHA DE OURO;ARANDELA 25 X 30CM ALT.- 03 LÂMP. G9 - 02 CAMADAS - BASTÃO DE ROCHA;;1698.19;9.75;19
ROCHA-ARA-BAST-3;;ARANDELA 25 X 40CM ALT.- 05 LÂMP. G9 - 03 CAMADAS - BASTÃO DE ROCHA;;1868.92;9.75;19
ROCHA-ARA-BAST-3;FOLHA DE OURO;ARANDELA 25 X 40CM ALT.- 05 LÂMP. G9 - 03 CAMADAS - BASTÃO DE ROCHA;;2149.26;9.75;19
ROCHA-ARA-BAST-4;;ARANDELA 30 X 55CM ALT.- 05 LÂMP. G9 - 04 CAMADAS - BASTÃO DE ROCHA;;2564.43;9.75;19
ROCHA-ARA-BAST-4;FOLHA DE OURO;ARANDELA 30 X 55CM ALT.- 05 LÂMP. G9 - 04 CAMADAS - BASTÃO DE ROCHA;;2949.10;9.75;19
ROCHA-ARA-PL-2;;ARANDELA RET. 10 X 40CM - PLACA RET. ROCHA - 4W - LINHA FELSEN;;765.69;9.75;19
ROCHA-ARA-PL-2;FOLHA DE OURO;ARANDELA RET. 10 X 40CM - PLACA RET. ROCHA - 4W - LINHA FELSEN;;880.54;9.75;19
ROCHA-ARA-PL-RET;;ARANDELA RET. 10 X 20CM - PLACA RET. ROCHA - 2W - LINHA FELSEN;;418.71;9.75;19
ROCHA-ARA-PL-RET;FOLHA DE OURO;ARANDELA RET. 10 X 20CM - PLACA RET. ROCHA - 2W - LINHA FELSEN;;481.52;9.75;19
ROCHA-ARA-SL-LIN100;;ARANDELA LINEAR 100 X 5CM X 18CM ALT.- 30W - SLIM - ROCHA ( KALEO FELSEN );;1955.02;9.75;19
ROCHA-ARA-SL-LIN100;FOLHA DE OURO;ARANDELA LINEAR 100 X 5CM X 18CM ALT.- 30W - SLIM - ROCHA ( KALEO FELSEN );;2248.27;9.75;19
ROCHA-ARA-SL-LIN80;;ARANDELA LINEAR 80 X 5CM X 18CM ALT.- 25W - SLIM - ROCHA ( KALEO FELSEN );;1750.63;9.75;19
ROCHA-ARA-SL-LIN80;FOLHA DE OURO;ARANDELA LINEAR 80 X 5CM X 18CM ALT.- 25W - SLIM - ROCHA ( KALEO FELSEN );;2013.22;9.75;19
ROCHA-ARA-SL-LIN60;;ARANDELA LINEAR 60 X 5CM X 18CM ALT.- 18W - SLIM - ROCHA ( KALEO FELSEN );;1321.64;9.75;19
ROCHA-ARA-SL-LIN60;FOLHA DE OURO;ARANDELA LINEAR 60 X 5CM X 18CM ALT.- 18W - SLIM - ROCHA ( KALEO FELSEN );;1519.88;9.75;19
ROCHA-ARA-SL-LIN100H;;ARANDELA LINEAR 100 X 5CM X 18CM ALT.- 30W - SLIM - ROCHA - S/ HASTE ( KALEO FELSEN );;1892.45;9.75;19
ROCHA-ARA-SL-LIN100H;FOLHA DE OURO;ARANDELA LINEAR 100 X 5CM X 18CM ALT.- 30W - SLIM - ROCHA - S/ HASTE ( KALEO FELSEN );;2176.31;9.75;19
ROCHA-ARA-SL-LIN80-H;;ARANDELA LINEAR 80 X 5CM X 18CM ALT.- 25W - SLIM - ROCHA - S/ HASTE ( KALEO FELSEN );;1688.06;9.75;19
ROCHA-ARA-SL-LIN80-H;FOLHA DE OURO;ARANDELA LINEAR 80 X 5CM X 18CM ALT.- 25W - SLIM - ROCHA - S/ HASTE ( KALEO FELSEN );;1941.27;9.75;19
ROCHA-ARA-SL-LIN60-H;;ARANDELA LINEAR 60 X 5CM X 18CM ALT.- 18W - SLIM - ROCHA - S/ HASTE ( KALEO FELSEN );;1259.07;9.75;19
ROCHA-ARA-SL-LIN60-H;FOLHA DE OURO;ARANDELA LINEAR 60 X 5CM X 18CM ALT.- 18W - SLIM - ROCHA - S/ HASTE ( KALEO FELSEN );;1447.93;9.75;19
QTZO-PD-SL-LIN120;;RET. 120 X 5 X 10CM ALT.- 36W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;2816.99;9.75;20
QTZO-PD-SL-LIN120;FOLHA DE OURO;RET. 120 X 5 X 10CM ALT.- 36W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;3239.54;9.75;20
QTZO-PD-SL-LIN100;;RET. 100 X 5 X 10CM ALT.- 30W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;2380.63;9.75;20
QTZO-PD-SL-LIN100;FOLHA DE OURO;RET. 100 X 5 X 10CM ALT.- 30W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;2737.72;9.75;20
QTZO-PD-SL-LIN60;;RET. 60 X 5 X 10CM ALT.- 20W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;1602.04;9.75;20
QTZO-PD-SL-LIN60;FOLHA DE OURO;RET. 60 X 5 X 10CM ALT.- 20W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;1842.34;9.75;20
QTZO-PD-SL-LIN80;;RET. 80 X 5 X 10CM ALT.- 25W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;2014.87;9.75;20
QTZO-PD-SL-LIN80;FOLHA DE OURO;RET. 80 X 5 X 10CM ALT.- 25W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;2317.10;9.75;20
QTZO-PD-SL-RD60;;RED. 60 X 5 X 10CM ALT.- 50W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;4048.84;9.75;20
QTZO-PD-SL-RD60;FOLHA DE OURO;RED. 60 X 5 X 10CM ALT.- 50W - SLIM - QUARTZO CRISTAL - PENDENTE 1,5M ALT. - KALEO FELSEN;;4656.16;9.75;20
